lincs ID,cluster
BRD-K49577446,1
BRD-A74980173,1
BRD-A81233518,9
BRD-A10070317,15
BRD-K02992638,7
BRD-K09416995,1
BRD-K35240538,9
BRD-K88172511,10
BRD-A19736161,1
BRD-A84702196,7
BRD-K87024524,1
BRD-A31159102,1
BRD-K45435259,17
BRD-A96255180,2
BRD-K28346421,1
BRD-A01320529,3
BRD-K22878149,13
BRD-A22256192,1
BRD-K55070890,13
BRD-K06765193,9
BRD-K92033419,16
BRD-K37393297,1
BRD-A84524947,1
BRD-A25170757,1
BRD-K32795028,15
BRD-K78278890,14
BRD-K40619305,12
BRD-K59840856,17
BRD-K93331292,1
BRD-K93229693,2
BRD-K03704870,17
BRD-K53932786,8
BRD-A18411371,6
BRD-A18725729,2
BRD-A37735495,6
BRD-K93034159,1
BRD-K59332007,13
BRD-K76600340,17
BRD-K89486464,4
BRD-K44652183,17
BRD-K35254025,12
BRD-A32449311,1
BRD-K30197592,17
BRD-K53423944,12
BRD-K51066026,1
BRD-K56745457,17
BRD-K04430056,1
BRD-K08799912,12
BRD-K73125384,4
BRD-K29359156,1
BRD-K71671265,2
BRD-K17915279,1
BRD-K33086940,3
BRD-K62493605,9
BRD-K99532291,5
BRD-K21788104,17
BRD-A73747855,1
BRD-K18814832,5
BRD-K89832926,6
BRD-K02113384,12
BRD-K97666802,17
BRD-K17849083,13
BRD-K13605477,4
BRD-K01926222,6
BRD-A84475555,1
BRD-K92000912,2
BRD-K52172416,4
BRD-K41410256,1
BRD-A17448384,17
BRD-K31471398,12
BRD-K59574735,1
BRD-K68077509,1
BRD-K20338176,9
BRD-K52735702,1
BRD-K04993501,12
BRD-K86595100,17
BRD-K73589401,2
BRD-K43736954,2
BRD-K70578146,1
BRD-K90976994,7
BRD-K30697463,1
BRD-K39462424,15
BRD-K28029915,12
BRD-A46179541,1
BRD-K76534306,15
BRD-K47448802,2
BRD-K27169919,3
BRD-K15715913,7
BRD-A62434282,1
BRD-K10860596,3
BRD-K67783091,5
BRD-A24643465,17
BRD-K59570838,1
BRD-A66435872,1
BRD-K30097969,6
BRD-K18816859,8
BRD-A02990301,1
BRD-K99615199,1
BRD-K39339537,2
BRD-A03216249,1
BRD-A71262238,1
BRD-K59197931,3
BRD-K12102668,7
BRD-K28912512,1
BRD-A24891640,1
BRD-K67637637,1
BRD-A55962179,14
BRD-A14208071,13
BRD-K08924299,2
BRD-A22897758,12
BRD-K89839824,12
BRD-K70490179,1
BRD-A27489425,1
BRD-K50938786,2
BRD-A75769826,1
BRD-K91733562,1
BRD-A72441487,1
BRD-A04327189,4
BRD-K06221026,2
BRD-K10467831,6
BRD-K89125793,1
BRD-K04412738,12
BRD-A61856038,2
BRD-K32696739,1
BRD-K13926615,12
BRD-K20168442,2
BRD-A01826957,12
BRD-K54314721,1
BRD-K35961280,10
BRD-K57019930,2
BRD-K67808578,4
BRD-K15592317,2
BRD-A09164687,14
BRD-A66395008,8
BRD-K16925374,10
BRD-A45664787,1
BRD-K28789065,5
BRD-A57107094,11
BRD-A49581300,3
BRD-K89784888,16
BRD-A93015352,10
BRD-K95760042,14
BRD-K29622226,7
BRD-K61359235,14
BRD-K37932103,2
BRD-K97764662,14
BRD-K09485525,3
BRD-K48716658,5
